"english","short","zh","keep_english","domain","notes"
"Box Splitter","","分盒器","false","storage","接受混杂潜影盒并将其内容拆成每种物品类型一个盒子的装置。"
"Ideal Splitter","","理想分盒器/ideal splitter","true","storage","高吞吐分盒方案；作为具体设计名时保留英文。"
"Variable Cart Ideal Splitter","","Variable Cart Ideal Splitter","true","storage","使用可变/过滤矿车参与分配流程的 ideal splitter 变体。"
"x64 Ideal Splitter","","x64 Ideal Splitter","true","storage","64 路或 x64 规模的 ideal splitter 设计名。"
"Cycvar","cycvar","cycvar","true","storage","循环式可变矿车分盒/分类思路，通常保留英文缩写。"
"Cart Cycvar","cart cycvar","cart cycvar","true","storage","基于矿车实现的 cycvar。"
"Svar","svar","svar/自适应潜影盒分类","true","storage","通常只检查从盒子中抽出的第一个物品来分类/分配。"
"Toggle Buffer","","切换缓冲/toggle buffer","true","storage","在接收和输出状态间切换的缓冲结构。"
"Double Buffer","","双缓冲","false","storage","两套缓冲流水线化接收和输出，常增加边界情况。"
"Double Cache","","双缓存","false","storage","每个单片额外设置的缓存/缓冲；语境接近 double buffer。"
"Per-Slice Buffer","","单片缓冲/per-slice buffer","true","storage","每个 slice 本地拥有的缓冲。"
"Return Set","","返回集/return set","true","storage","从某处理路径返回的一组盒子或物品流。"
"Empty Slice Detection","","空单片检测/empty slice detection","true","storage","检测某个 slice 是否为空或就绪的逻辑。"
"Non-Whitelisted Box","","非白名单盒","false","storage","内容不匹配当前白名单/白名单器的潜影盒。"
"Full Box","","满盒","false","storage","已装满或达到目标装载状态的潜影盒。"
"Mixed Box","","混杂盒","false","storage","含多种物品类型的潜影盒。"
"Bulk Box","","大宗盒/bulk box","true","storage","通常含单一大宗物品类型的潜影盒。"
"Loose Item","","散装物品","false","storage","未装入潜影盒的物品。"
"Item Pile","","物品堆/item pile","true","storage","聚在一起的一批物品实体，可用于合并、聚堆或分配。"
"Box Temp","","盒子暂存/box temp","true","storage","潜影盒在进一步处理前进入的临时存储/暂存系统。"
"Box Stream","","盒子流/box stream","true","storage","盒子通过漏斗、矿车、水流等路径连续移动形成的流。"
"Loader","","打包机","false","storage","将物品装入潜影盒并输出该盒的装置。"
"Loader Utilization","","打包机利用率/loader utilization","true","storage","打包机有效工作或被占用的比例。"
"Unloader","","拆包机/卸货机","false","storage","从潜影盒中移出物品内容的装置。"
"Box Merger","","潜影盒合并器/box merger","true","storage","接受两个潜影盒并合并为一个的装置。"
"Grouper","","分组器/grouper","true","storage","把盒子或物品按目标、类型或批次分组的逻辑/装置。"
"Local Grouper","","局部分组器/local grouper","true","storage","每个 slice 内部或对应的分组器。"
"Global Grouper","","全局分组器/global grouper","true","storage","全局先分组再把批次送往一个或多个 slice 的分组器。"
"Whitelister","","白名单器/whitelister","true","storage","定义允许进入某 slice/loader/path 的物品集合或装置。"
"Whitelisting","","白名单过滤/whitelisting","true","storage","定义并应用允许物品集合的过程。"
"Variable Cart","","可变矿车/variable cart","true","storage","分配逻辑中目标、过滤物或携带物可变化的矿车。"
"Filtered Cart","","过滤矿车/filtered cart","true","storage","配合过滤器抽取、路由或分配匹配物品的矿车。"
"Var Filter","","可变过滤器/var filter","true","storage","匹配当前物品、盒子、slice 或分配目标的可变过滤器。"
"Variable Filter","","可变过滤器","false","storage","运行过程中目标物品或条件会变化的过滤器。"
"Filter Item","","过滤物品/filter item","true","storage","用于设置、保持或恢复过滤状态的物品。"
"Blocker","","占位物/填充物","false","storage","用于占槽、限制物品路径或填充过滤状态的物品。"
"Unstack Handling","","不可堆叠物品处理/unstack handling","true","storage","针对不可堆叠物品所需的特殊处理逻辑。"
"Hyperthreading Logic","","超线程逻辑/hyperthreading logic","true","storage","让多个处理步骤重叠或让多个 slice 流水线并行推进的逻辑。"
"Preprocessing","","预处理/preprocessing","true","storage","主分盒器或分类器前的准备逻辑。"
"isEmpty Check","","isEmpty 检测","true","storage","检测盒子、缓冲或 slice 是否为空的逻辑。"
"Double Chest","dc","双箱/dc","true","storage","一双箱容量或与双箱相当的存储量。"
"(Shulker Box) Disk Driver","","盒子硬盘","false","computational-redstone","Imported from source category: computational."
"AND-Gate","","与门","false","computational-redstone","与门。一种逻辑电路，输出仅在所有输入均为真时为真。"
"Decoder","","解码器","false","computational-redstone","在计算红石中，有时指增大编码基数，例如从二进制（bin）转换为十六进制（hex），参见转码器（Transcoder）。"
"Encoder","","编码器","false","computational-redstone","In computational redstone, this sometimes refers to decreasing the size of the base used in the code: for example hex to bin. see Transcoder."
"Fifo (aka Shift Register)","","移位寄存器","true","computational-redstone","Imported from source category: computational."
"Logical Gate","","逻辑门","false","computational-redstone","一种逻辑运算单元，在minecraft中，其有信号，无信号可以分别代表逻辑上个“真”搭“假”或二进制当中个1搭0，从而实现逻辑运算。"
"Parallel Codes","","并行码/并行信号","false","computational-redstone","A code is said to be parallel if the all the bits of the signal are sent through individual wires or lines This usually allows for faster and easier to use codes than Serial codes, but it tends to be more expensive and bigger."
"Random-Access Memory","RAM","读写存储器","true","computational-redstone","Imported from source category: computational."
"Read-Only Memory","ROM","只读存储器","true","computational-redstone","Imported from source category: computational."
"Redcoder","","红石信号解码器","false","computational-redstone","Imported from source category: computational."
"Serial Codes","","串行码/并行信号","false","computational-redstone","A code is said to be serial if the bits of the signal are sent one after the other through a single wire. This is more space and resource efficient than Parallel codes, but usually slower and harder to implement."
"Shift Register (aka Fifo)","","移位寄存器","true","computational-redstone","Imported from source category: computational."
"T Flip-Flop","","T触发器/T触","true","computational-redstone","一个装置，受到一次脉冲时翻转自身状态。"
"Toggle State","","T触","true","computational-redstone","Usually used to refer to intentionally having sticky piston's drop its block by sending it a <3gt pulse in order to cycle between two different states (toggling between block in and out). Importantly, togglestates have no default position, and there is no way to reset them. This makes them painful to use in survival as they're hard to debug. This is different to latches, which are also systems that hold state. Latches usually have a reset signal that you can trigger when something goes wrong."
"Transcoder","","转码器","false","computational-redstone","A device or contraption to convert between encodings of a signal: Binary to Hexadecimal, hex to octal, pulse length to binary, block event delay to overloaded comparator, etc."
"Main Storage","MS","全物品/全物品分类仓库","true","storage","储电述语，指一个巨大的仓库，其可分类并存储几乎所有可获得的已知物品。"
"0-tick","0t","0t","true","redstone","常指短于1游戏刻的红石信号。也可用于描述在同一游戏刻内活塞的伸出和缩回。"
"Array","","阵列","false","redstone","阵列。指一组按特定模式排列的样式。"
